,I1L_valid,I2L_valid,I1H [nA],I1L [10pA],V1 [10nV],V2 [10nV],I2H [nA],I2L [10pA]
1615674468.490419402,1,1,-48581,439343,-1239375,25797911,123785,-190306
1615674469.493949998,1,1,-46082,552298,-1239867,25799135,126495,-53587
1615674470.497489944,1,1,-45671,837062,-1238146,25800971,129740,251547
1615674471.501017178,1,1,-49466,684690,-1239252,25798156,127408,35532
1615674472.504545038,1,1,-28117,2742408,-1231634,25800971,139065,1488707
1615674473.508081892,1,1,-47126,584178,-1239375,25799257,126117,-22485
1615674474.511619030,1,1,-49624,588420,-1239252,25798768,125770,-14290
1615674475.515141203,1,1,-47505,762891,-1238884,25799257,126400,129976
1615674476.518685718,1,1,-48233,654405,-1237901,25797911,124541,5831
1615674477.522212356,1,1,-49276,422570,-1239498,25798033,123533,-213335
1615674478.525747487,1,1,-50067,554629,-1239129,25798400,126054,-52081
1615674479.529280788,1,1,-43394,834065,-1237778,25800726,126589,237187
1615674480.532818559,1,1,-49498,671651,-1237778,25798278,123470,21470
1615674481.536358192,1,1,-50826,380595,-1239252,25797544,122178,-292438
1615674482.539877015,1,1,-50826,544780,-1238638,25798890,124258,-60259
1615674483.543410831,1,1,-49846,449333,-1237163,25799747,126495,-58386
1615674484.546950989,1,1,-47474,701778,-1238761,25799502,128102,54761
1615674485.550478988,1,1,-48960,542046,-1239252,25798890,124856,-126649
1615674486.554013979,1,1,-49087,522259,-1238024,25799012,125959,-85828
1615674487.557538393,1,1,-47442,574942,-1238146,25799502,127912,-30366
1615674488.561084984,1,1,-46525,775142,-1238024,25801338,126967,147138
1615674489.564608032,1,1,-47062,657227,-1238024,25799502,125896,8195
1615674490.568135672,1,1,-48011,397631,-1239375,25797789,123061,-248149
1615674491.571673897,1,1,-50194,552386,-1236918,25799502,127251,-53832
1615674492.575187300,1,1,-45165,839691,-1237040,25801950,127219,254489
1615674493.578766804,1,1,-46904,682955,-1238269,25799012,123376,32765
1615674494.582268777,1,1,-49846,410881,-1239990,25798523,124667,-290337
1615674495.585812780,1,1,-54274,23397,-1240481,25798523,120981,-484444
1615674496.589323955,1,1,-47916,651338,-1236180,25801093,125140,59892
1615674497.592866676,1,1,-48929,735288,-1237040,25799502,123943,93831
1615674498.596406900,1,1,-46651,647132,-1238392,25800114,126148,-3940
1615674499.599940053,1,1,-49656,466754,-1238884,25798890,122588,-154686
1615674500.603465217,1,1,-49814,556434,-1237163,25799747,126211,-50558
1615674501.606997975,1,1,-46019,824320,-1236180,25799869,127534,218098
1615674502.610530657,1,1,-45861,663466,-1237655,25799869,126621,14430
1615674503.614065704,1,1,-48739,381787,-1239867,25797666,121485,-284137
1615674504.617603277,1,1,-48834,545007,-1238392,25799992,126589,-59121
1615674505.621131478,1,1,-68791,-1527554,-1243922,25801460,126054,221321
1615674506.624673579,1,1,-46588,626311,-1236426,25800236,124321,-25515
1615674507.628190973,1,1,-45038,618126,-1237040,25799869,126274,-36986
1615674508.631738246,1,1,-48264,481388,-1237778,25798645,123533,-135317
1615674509.635265231,1,1,-48422,555698,-1237286,25799747,127534,-50102
1615674510.638793513,1,1,-45228,828597,-1235935,25801705,128165,229656
